yyyy;mm;dd;date;uvief;uvdef;uvdvf;uvddf;ozone
1971;10;23;1971-10-23;14461.29784;6850.46925;13691.92998;4654.11725;2573.25986
1971;10;24;1971-10-24;14671.04035;6947.70557;13918.77195;4768.56132;2544.86640
1971;10;25;1971-10-25;13969.29084;6627.61009;13174.78672;4400.12652;2629.43346
1971;10;26;1971-10-26;13454.42808;6393.10058;12630.01811;4137.70115;2695.36080
1971;10;27;1971-10-27;12441.44937;5930.69510;11556.82017;3634.24887;2842.67480
1971;10;28;1971-10-28;12396.26605;5911.10476;11511.72981;3614.75150;2845.82520
1971;10;29;1971-10-29;14071.18406;6677.86457;13295.20929;4464.88705;2600.52720
1971;10;30;1971-10-30;14609.42902;6925.30426;13871.81184;4752.68168;2529.75520
1971;10;31;1971-10-31;13851.10311;6579.50224;13067.68048;4356.07420;2620.48440
1971;11;1;1971-11-01;11978.67128;5723.81812;11080.04613;3422.56251;2895.99240
1971;11;2;1971-11-02;13821.59406;6567.87651;13043.02891;4346.40158;2614.96334
1971;11;3;1971-11-03;14500.53857;6879.16171;13770.49582;4708.08292;2525.55360
1971;11;4;1971-11-04;14602.36944;6926.34729;13881.86937;4766.66610;2508.71426
1971;11;5;1971-11-05;14516.43814;6887.73964;13794.12113;4724.39127;2514.30666
1971;11;6;1971-11-06;14594.12855;6924.45624;13879.94515;4769.34976;2500.15040
1971;11;7;1971-11-07;14118.60544;6707.73942;13376.39672;4519.55082;2553.30666
1971;11;8;1971-11-08;13574.85525;6459.59859;12800.32573;4239.14334;2618.99240
1971;11;9;1971-11-09;15269.04860;7235.69527;14610.53439;5149.97601;2409.70840
